CONTRACT_ID;CLIENT_ID;TERM;CONTRACT_SUM;GENDER;AGE;LOAN_TO_INCOME;PAYMENT_TO_INCOME;DOWNPAYMENT;CAR_CATEGORY;GRACE_PERIOD;RATE_CHANGE_AFTER_GRACE
20194371;398618;120;1123.02;F;40;6;0.09;0.50;2;0;0
20194996;398623;84;1201.05;M;35;13;0.24;0.60;2;3;14
20196220;398636;18;607.03;M;30;4;0.25;0.70;2;18;15
20196249;398637;84;1532.68;F;46;13;0.26;0.50;3;12;15
20196898;398646;84;600.14;M;57;10;0.19;0.50;1;12;8
20197915;398659;60;1467.27;M;39;13;0.3;0.30;2;6;15
20197973;398660;48;765;F;42;10;0.26;0.50;2;0;0
20198064;398661;48;1116.75;M;45;8;0.21;0.40;2;0;0
20199387;398664;120;1347.17;M;36;15;0.23;0.10;1;0;0
20203652;398666;84;1405.92;M;47;17;0.32;0.10;2;12;7
20207088;398677;84;1590.44;M;34;17;0.32;0.20;2;12;7
20208970;398695;48;1175.81;M;47;14;0.36;0.50;2;0;0
20210479;398709;18;382.5;M;46;7;0.39;0.70;1;18;15
20210567;398711;84;780.3;M;27;2;0.05;0.50;2;12;6
20221576;398741;120;1359.41;M;35;16;0.24;0.20;2;0;0
20222242;398745;84;994.5;M;36;13;0.25;0.50;2;0;0
20222250;398746;120;1819.94;M;32;15;0.23;0.10;2;0;0
20225083;398795;12;879.75;M;30;4;0.32;0.60;2;12;15
20228117;31563;84;1955.03;F;41;17;0.3;0.10;2;0;0
20236233;256844;84;664.02;F;42;11;0.22;0.70;2;0;0
20236300;398842;120;1559.07;M;46;17;0.25;0.10;2;0;0
20236687;398852;120;1668.24;M;53;14;0.21;0.10;2;0;0
20237107;398861;120;1912.5;M;30;23;0.39;0.20;2;0;0
20237580;398875;48;674.81;M;38;6;0.18;0.50;1;0;0
20237590;398876;18;690.8;M;42;7;0.37;0.70;2;18;15
20238323;398892;60;1453.5;M;31;9;0.2;0.40;2;6;15
20240146;398921;84;1434.6;F;24;28;0.54;0.30;2;12;7
20248745;398943;84;1300.5;M;43;16;0.31;0.30;2;0;0
20251578;398997;120;1820.7;M;31;11;0.17;0.10;2;0;0
20253214;399015;84;1204.57;F;55;17;0.33;0.30;2;12;1
20261828;399053;60;1175.81;F;61;15;0.35;0.50;2;6;15
20262121;399057;84;1491.75;F;45;13;0.25;0.10;2;12;1
20262163;399060;120;1403.78;M;35;14;0.23;0.20;2;0;0
20271888;399105;84;1996.65;M;39;19;0.36;0.20;2;0;0
20281693;399119;84;2256.75;F;60;19;0.38;0.40;3;0;0
20292215;399180;84;1040.4;M;30;15;0.3;0.50;2;12;6
20292272;399182;84;4115.7;M;35;10;0.19;0.10;3;0;0
20324882;399218;120;1147.5;F;44;10;0.15;0.20;1;0;0
